date,year,month,day,station_id,station_name,lat,lon,tmin_c,tmax_c,tavg_c,prcp_mm,snow_mm_we
2019-01-01,2019,1,1,USC001,"Champaign, IL",40.1164,-88.2434,9.65,23.02,16.69,0.0,0.0
2019-01-02,2019,1,2,USC001,"Champaign, IL",40.1164,-88.2434,7.18,19.86,13.26,3.66,0.0
2019-01-03,2019,1,3,USC001,"Champaign, IL",40.1164,-88.2434,10.16,24.56,16.94,0.0,0.0
2019-01-04,2019,1,4,USC001,"Champaign, IL",40.1164,-88.2434,16.04,29.06,21.07,0.0,0.0
2019-01-05,2019,1,5,USC001,"Champaign, IL",40.1164,-88.2434,5.12,18.78,12.03,0.0,0.0
2019-01-06,2019,1,6,USC001,"Champaign, IL",40.1164,-88.2434,4.04,19.22,11.78,0.0,0.0
2019-01-07,2019,1,7,USC001,"Champaign, IL",40.1164,-88.2434,13.75,26.57,20.59,0.0,0.0
2019-01-08,2019,1,8,USC001,"Champaign, IL",40.1164,-88.2434,8.66,22.2,16.28,0.0,0.0
2019-01-09,2019,1,9,USC001,"Champaign, IL",40.1164,-88.2434,2.67,16.05,9.84,0.0,0.0
2019-01-10,2019,1,10,USC001,"Champaign, IL",40.1164,-88.2434,9.28,21.66,14.64,21.26,0.0
2019-01-11,2019,1,11,USC001,"Champaign, IL",40.1164,-88.2434,1.65,16.4,9.36,0.0,0.0
2019-01-12,2019,1,12,USC001,"Champaign, IL",40.1164,-88.2434,3.89,15.04,9.09,0.0,0.0
2019-01-13,2019,1,13,USC001,"Champaign, IL",40.1164,-88.2434,5.77,17.77,12.37,0.0,0.0
2019-01-14,2019,1,14,USC001,"Champaign, IL",40.1164,-88.2434,-4.09,8.23,1.34,0.0,0.0
2019-01-15,2019,1,15,USC001,"Champaign, IL",40.1164,-88.2434,-3.01,7.41,2.02,0.0,0.0
2019-01-16,2019,1,16,USC001,"Champaign, IL",40.1164,-88.2434,1.31,14.31,7.58,0.0,0.0
2019-01-17,2019,1,17,USC001,"Champaign, IL",40.1164,-88.2434,-0.82,12.15,5.06,0.0,0.0
2019-01-18,2019,1,18,USC001,"Champaign, IL",40.1164,-88.2434,4.98,18.54,11.44,0.0,0.0
2019-01-19,2019,1,19,USC001,"Champaign, IL",40.1164,-88.2434,-1.66,12.33,5.07,0.97,0.0
2019-01-20,2019,1,20,USC001,"Champaign, IL",40.1164,-88.2434,-2.84,9.91,2.29,0.0,0.0
2019-01-21,2019,1,21,USC001,"Champaign, IL",40.1164,-88.2434,11.06,22.92,16.43,0.0,0.0
2019-01-22,2019,1,22,USC001,"Champaign, IL",40.1164,-88.2434,1.03,14.9,7.71,2.73,0.0
2019-01-23,2019,1,23,USC001,"Champaign, IL",40.1164,-88.2434,2.89,15.78,8.92,0.0,0.0
2019-01-24,2019,1,24,USC001,"Champaign, IL",40.1164,-88.2434,-5.99,6.76,1.2,0.0,0.0
2019-01-25,2019,1,25,USC001,"Champaign, IL",40.1164,-88.2434,-1.61,10.42,5.35,0.0,0.0
2019-01-26,2019,1,26,USC001,"Champaign, IL",40.1164,-88.2434,0.83,14.22,8.37,2.47,0.0
2019-01-27,2019,1,27,USC001,"Champaign, IL",40.1164,-88.2434,-5.27,8.13,1.8,0.66,0.0
2019-01-28,2019,1,28,USC001,"Champaign, IL",40.1164,-88.2434,2.89,16.03,9.18,0.0,0.0
2019-01-29,2019,1,29,USC001,"Champaign, IL",40.1164,-88.2434,-2.97,11.6,4.05,0.0,0.0
2019-01-30,2019,1,30,USC001,"Champaign, IL",40.1164,-88.2434,-0.49,10.93,5.34,12.66,0.0
2019-01-31,2019,1,31,USC001,"Champaign, IL",40.1164,-88.2434,-2.38,8.91,3.54,0.0,0.0
2019-02-01,2019,2,1,USC001,"Champaign, IL",40.1164,-88.2434,8.19,23.45,15.56,7.24,0.0
2019-02-02,2019,2,2,USC001,"Champaign, IL",40.1164,-88.2434,-0.36,11.3,5.98,0.0,0.0
2019-02-03,2019,2,3,USC001,"Champaign, IL",40.1164,-88.2434,-6.89,6.94,0.51,0.0,0.0
2019-02-04,2019,2,4,USC001,"Champaign, IL",40.1164,-88.2434,2.19,16.42,9.66,0.0,0.0
2019-02-05,2019,2,5,USC001,"Champaign, IL",40.1164,-88.2434,-8.37,5.82,-0.8,0.0,0.0
2019-02-06,2019,2,6,USC001,"Champaign, IL",40.1164,-88.2434,-1.65,11.36,6.1,0.0,0.0
2019-02-07,2019,2,7,USC001,"Champaign, IL",40.1164,-88.2434,-11.28,0.19,-4.98,0.0,0.0
2019-02-08,2019,2,8,USC001,"Champaign, IL",40.1164,-88.2434,-8.02,3.25,-2.07,0.0,0.0
2019-02-09,2019,2,9,USC001,"Champaign, IL",40.1164,-88.2434,-1.43,12.08,5.32,0.0,0.0
2019-02-10,2019,2,10,USC001,"Champaign, IL",40.1164,-88.2434,1.67,14.42,7.79,0.0,0.0
2019-02-11,2019,2,11,USC001,"Champaign, IL",40.1164,-88.2434,-2.09,10.42,4.72,0.0,0.0
2019-02-12,2019,2,12,USC001,"Champaign, IL",40.1164,-88.2434,-4.07,9.96,3.05,0.0,0.0
2019-02-13,2019,2,13,USC001,"Champaign, IL",40.1164,-88.2434,-5.18,9.35,1.89,0.0,0.0
2019-02-14,2019,2,14,USC001,"Champaign, IL",40.1164,-88.2434,-10.35,0.89,-4.23,0.0,0.0
2019-02-15,2019,2,15,USC001,"Champaign, IL",40.1164,-88.2434,-6.17,5.83,-0.67,0.0,0.0
2019-02-16,2019,2,16,USC001,"Champaign, IL",40.1164,-88.2434,-5.89,7.47,0.4,0.0,0.0
2019-02-17,2019,2,17,USC001,"Champaign, IL",40.1164,-88.2434,2.34,13.52,7.77,0.0,0.0
2019-02-18,2019,2,18,USC001,"Champaign, IL",40.1164,-88.2434,-3.69,9.9,3.98,5.9,0.0
2019-02-19,2019,2,19,USC001,"Champaign, IL",40.1164,-88.2434,-12.81,0.06,-6.78,0.0,0.0
2019-02-20,2019,2,20,USC001,"Champaign, IL",40.1164,-88.2434,-2.02,11.14,3.44,0.0,0.0
2019-02-21,2019,2,21,USC001,"Champaign, IL",40.1164,-88.2434,-5.4,7.11,-0.32,0.0,0.0
2019-02-22,2019,2,22,USC001,"Champaign, IL",40.1164,-88.2434,-8.93,4.76,-1.99,0.0,0.0
2019-02-23,2019,2,23,USC001,"Champaign, IL",40.1164,-88.2434,-2.67,11.43,4.24,0.0,0.0
2019-02-24,2019,2,24,USC001,"Champaign, IL",40.1164,-88.2434,0.11,12.23,6.13,0.0,0.0
2019-02-25,2019,2,25,USC001,"Champaign, IL",40.1164,-88.2434,0.21,12.35,5.43,0.0,0.0
2019-02-26,2019,2,26,USC001,"Champaign, IL",40.1164,-88.2434,-9.86,2.77,-3.63,0.0,0.0
2019-02-27,2019,2,27,USC001,"Champaign, IL",40.1164,-88.2434,-7.11,4.39,-1.18,0.0,0.0
2019-02-28,2019,2,28,USC001,"Champaign, IL",40.1164,-88.2434,-5.2,8.93,1.83,0.0,0.0
2019-03-01,2019,3,1,USC001,"Champaign, IL",40.1164,-88.2434,-1.96,11.53,4.86,0.0,0.0
2019-03-02,2019,3,2,USC001,"Champaign, IL",40.1164,-88.2434,-8.7,3.47,-2.61,0.0,0.0
